algo,serie,taille,r,temps
glouton,1000,10000,53476,30.664494
glouton,1000,10000,105171,38.794738
glouton,1000,10000,154600,48.873907
glouton,1000,10000,207783,65.789887
glouton,1000,10000,254330,97.448590
glouton,1000,10000,313285,58.431279
glouton,1000,10000,360477,94.643043
glouton,1000,10000,407931,119.391201
glouton,1000,10000,462086,95.538738
glouton,1000,10000,513606,74.143490
glouton,100,10000,5317,2.984034
glouton,100,10000,10436,5.366288
glouton,100,10000,15352,7.403031
glouton,100,10000,20605,9.282123
glouton,100,10000,26104,12.018178
glouton,100,10000,31434,14.663204
glouton,100,10000,36533,16.834774
glouton,100,10000,41340,18.820710
glouton,100,10000,47437,22.506439
glouton,100,10000,52585,24.425109
glouton,10,10000,563,1.230896
glouton,10,10000,1135,2.259408
glouton,10,10000,1731,3.474046
glouton,10,10000,2294,4.640896
glouton,10,10000,2841,5.950516
glouton,10,10000,3462,7.047612
glouton,10,10000,3978,8.303212
glouton,10,10000,4581,9.607194
glouton,10,10000,5141,11.031305
glouton,10,10000,5697,12.094182
glouton,1000,1000,5450,6.898190
glouton,1000,1000,10646,3.708946
glouton,1000,1000,15827,3.010396
glouton,1000,1000,21355,2.484378
glouton,1000,1000,26353,3.607478
glouton,1000,1000,31503,1.288364
glouton,1000,1000,35746,6.450034
glouton,1000,1000,39340,3.263495
glouton,1000,1000,47719,7.233299
glouton,1000,1000,50608,6.106845
glouton,100,1000,561,1.077680
glouton,100,1000,1048,1.390261
glouton,100,1000,1572,1.343895
glouton,100,1000,2118,1.697554
glouton,100,1000,2641,1.584338
glouton,100,1000,3181,1.662726
glouton,100,1000,3646,2.419161
glouton,100,1000,4288,2.960126
glouton,100,1000,4763,3.123012
glouton,100,1000,5237,2.848813
glouton,10,1000,60,0.331345
glouton,10,1000,122,0.429578
glouton,10,1000,179,0.538590
glouton,10,1000,238,0.635537
glouton,10,1000,290,0.702009
glouton,10,1000,347,0.857130
glouton,10,1000,402,1.007382
glouton,10,1000,471,1.228770
glouton,10,1000,520,1.256892
glouton,10,1000,569,1.409080
glouton,1000,100,1313,0.594910
glouton,1000,100,1133,0.283337
glouton,1000,100,1557,0.562174
glouton,1000,100,2189,0.285685
glouton,1000,100,2652,0.313409
glouton,1000,100,3383,0.311661
glouton,1000,100,3588,0.305485
glouton,1000,100,3822,0.322512
glouton,1000,100,4683,0.342042
glouton,1000,100,5488,0.368028
glouton,100,100,120,0.304494
glouton,100,100,102,0.249589
glouton,100,100,168,0.360199
glouton,100,100,179,0.284921
glouton,100,100,275,0.271420
glouton,100,100,349,0.336834
glouton,100,100,389,0.601937
glouton,100,100,437,0.598396
glouton,100,100,494,0.355661
glouton,100,100,533,0.399924
glouton,10,100,12,0.227184
glouton,10,100,14,0.214219
glouton,10,100,18,0.220537
glouton,10,100,26,0.263631
glouton,10,100,38,0.333744
glouton,10,100,71,0.407446
glouton,10,100,40,0.381098
glouton,10,100,45,0.357398
glouton,10,100,61,0.364981
glouton,10,100,64,0.374732
progdyn,1000,10000,91966,4512.229982
progdyn,1000,10000,158020,8876.703963
progdyn,1000,10000,219755,13109.077955
progdyn,1000,10000,281865,192369.936163
progdyn,1000,10000,338929,257011.267665
progdyn,1000,10000,400617,314261.333749
progdyn,1000,10000,457137,367630.015831
progdyn,1000,10000,510771,845041.917885
progdyn,100,10000,9207,495.217336
progdyn,100,10000,16015,887.028205
progdyn,100,10000,22303,1332.916729
progdyn,100,10000,28490,1795.706447
progdyn,100,10000,34823,2210.143858
progdyn,100,10000,40697,2691.968076
progdyn,100,10000,46503,3141.763131
progdyn,100,10000,52101,3562.594995
progdyn,100,10000,58601,4073.052160
progdyn,100,10000,64267,4514.211146
progdyn,10,10000,978,49.456643
progdyn,10,10000,1777,98.766363
progdyn,10,10000,2546,145.076314
progdyn,10,10000,3245,195.188460
progdyn,10,10000,3928,242.286597
progdyn,10,10000,4641,296.647835
progdyn,10,10000,5274,349.449837
progdyn,10,10000,5940,401.430840
progdyn,10,10000,6592,437.104657
progdyn,10,10000,7220,480.277131
progdyn,1000,1000,9122,42.305012
progdyn,1000,1000,15825,86.100957
progdyn,1000,1000,22002,127.471179
progdyn,1000,1000,28887,179.163009
progdyn,1000,1000,34207,226.468131
progdyn,1000,1000,40415,272.952165
progdyn,1000,1000,45548,301.244495
progdyn,1000,1000,50102,337.432849
progdyn,1000,1000,57428,402.359892
progdyn,1000,1000,61155,437.714920
progdyn,100,1000,911,4.369038
progdyn,100,1000,1582,9.207567
progdyn,100,1000,2176,13.461769
progdyn,100,1000,2875,18.538691
progdyn,100,1000,3445,23.473110
progdyn,100,1000,4069,27.928763
progdyn,100,1000,4519,31.798676
progdyn,100,1000,5344,36.747265
progdyn,100,1000,5844,41.508821
progdyn,100,1000,6482,46.917479
progdyn,10,1000,93,0.515884
progdyn,10,1000,179,1.058103
progdyn,10,1000,253,1.528191
progdyn,10,1000,334,2.031540
progdyn,10,1000,395,2.678938
progdyn,10,1000,449,2.991694
progdyn,10,1000,511,3.836675
progdyn,10,1000,602,4.094550
progdyn,10,1000,662,4.554475
progdyn,10,1000,732,5.118560
progdyn,1000,100,1981,0.715806
progdyn,1000,100,2315,0.781568
progdyn,1000,100,2214,1.192749
progdyn,1000,100,3504,1.724345
progdyn,1000,100,3641,1.862748
progdyn,1000,100,5006,2.621424
progdyn,1000,100,4266,2.820658
progdyn,1000,100,4679,3.325701
progdyn,1000,100,6526,4.211749
progdyn,1000,100,7161,4.676302
progdyn,100,100,147,0.083362
progdyn,100,100,145,0.089963
progdyn,100,100,212,0.151620
progdyn,100,100,270,0.184970
progdyn,100,100,333,0.294528
progdyn,100,100,412,0.351010
progdyn,100,100,485,0.403968
progdyn,100,100,543,0.510118
progdyn,100,100,574,0.539166
progdyn,100,100,659,0.606291
progdyn,10,100,17,0.020257
progdyn,10,100,18,0.021785
progdyn,10,100,24,0.036020
progdyn,10,100,31,0.040096
progdyn,10,100,46,0.060252
progdyn,10,100,84,0.135954
progdyn,10,100,53,0.079167
progdyn,10,100,59,0.092700
progdyn,10,100,71,0.114203
progdyn,10,100,71,0.118473
local,1000,10000,62475,34364.252728
local,1000,10000,122408,88725.676569
local,1000,10000,178456,147393.221672
local,1000,10000,239232,233248.590274
local,1000,10000,297558,340574.993789
local,1000,10000,356540,435047.145645
local,1000,10000,413604,586934.709768
local,1000,10000,470197,710308.235896
local,1000,10000,530112,861336.368071
local,1000,10000,589316,1018864.998241
local,100,10000,6266,33889.724513
local,100,10000,12307,84223.462556
local,100,10000,18097,139254.731213
local,100,10000,24251,218330.201478
local,100,10000,30131,315151.713646
local,100,10000,36489,420955.046826
local,100,10000,42149,542265.989394
local,100,10000,47954,751534.694890
local,100,10000,54541,882780.190575
local,100,10000,60582,1053124.630550
local,10,10000,655,18837.437778
local,10,10000,1309,50008.194940
local,10,10000,1962,89514.561378
local,10,10000,2620,163266.912277
local,10,10000,3280,230871.870263
local,10,10000,3979,332650.864899
local,10,10000,4588,375392.146978
local,10,10000,5256,519538.742995
local,10,10000,5894,627264.480924
local,10,10000,6488,705351.204614
local,1000,1000,6739,146.483764
local,1000,1000,12128,164.468747
local,1000,1000,17588,266.967630
local,1000,1000,24471,348.895516
local,1000,1000,29454,430.764895
local,1000,1000,35506,550.364172
local,1000,1000,39883,674.002574
local,1000,1000,45867,883.415868
local,1000,1000,53118,906.364436
local,1000,1000,57487,1134.925441
local,100,1000,645,67.008387
local,100,1000,1237,110.724314
local,100,1000,1837,218.885243
local,100,1000,2429,316.938263
local,100,1000,3044,380.616103
local,100,1000,3709,639.528338
local,100,1000,4104,656.988214
local,100,1000,4875,913.589549
local,100,1000,5452,1180.309168
local,100,1000,5991,1119.985110
local,10,1000,68,35.481558
local,10,1000,133,68.552598
local,10,1000,204,184.111734
local,10,1000,266,192.535680
local,10,1000,332,250.742864
local,10,1000,394,419.035489
local,10,1000,459,571.862328
local,10,1000,530,553.452456
local,10,1000,593,608.330515
local,10,1000,668,902.578167
local,1000,100,1287,3.588747
local,1000,100,1323,1.023833
local,1000,100,1827,3.122157
local,1000,100,2641,1.828236
local,1000,100,2640,2.178099
local,1000,100,3646,1.874349
local,1000,100,3770,2.296020
local,1000,100,4068,2.798594
local,1000,100,5462,3.085944
local,1000,100,5736,3.372121
local,100,100,135,1.631088
local,100,100,135,1.014093
local,100,100,173,2.106834
local,100,100,240,1.822316
local,100,100,303,2.506266
local,100,100,366,2.846368
local,100,100,454,3.758339
local,100,100,498,4.996057
local,100,100,488,2.844037
local,100,100,585,5.155619
local,10,100,16,1.532997
local,10,100,17,1.517930
local,10,100,21,0.982224
local,10,100,26,1.258587
local,10,100,42,2.136034
local,10,100,80,3.233559
local,10,100,50,4.041536
local,10,100,54,1.715019
local,10,100,66,2.165095
local,10,100,68,3.746675
